location_or_country,count,share,top_segment
"Geneva, Switzerland",38,8.44,DATA_AI
"Brussels, Belgium",36,8.0,CYBER
"New York, United States",36,8.0,DATA_AI
Brussels (Belgium),19,4.22,ITOPS
"Nairobi, Kenya",19,4.22,DATA_AI
"Amman, Jordan",14,3.11,SOFTWARE
"Manila, Philippines",14,3.11,ITOPS
"Rome, Italy",10,2.22,DATA_AI
"Vienna, Austria",10,2.22,DATA_AI
"Copenhagen, Denmark",9,2.0,CLOUD
(unknown),8,1.78,ITOPS
"Beirut, Lebanon",8,1.78,POLICY_ADVISORY
"Bangkok, Thailand",7,1.56,INFO_KM
Home based,6,1.33,PRODUCT
"Valencia, Spain",6,1.33,ITOPS
"Florence, Italy",5,1.11,DATA_AI
Gebze,5,1.11,POLICY_ADVISORY
"Madrid, Spain",5,1.11,PRODUCT
"The Hague, The Netherlands",5,1.11,SOFTWARE
"Addis Ababa, Ethiopia",4,0.89,ITOPS
"Budapest, Hungary",4,0.89,ITOPS
"Paris, France",4,0.89,DATA_AI
"Stockholm, Sweden",4,0.89,POLICY_ADVISORY
"The Hague, Netherlands",4,0.89,DATA_AI
"Cairo, Egypt",3,0.67,CYBER
"Kabul, Afghanistan",3,0.67,DATA_AI
"Kuala Lumpur, Malaysia",3,0.67,ITOPS
"Lusaka, Zambia",3,0.67,ITOPS
Luxembourg (Luxembourg),3,0.67,CYBER
"Maiduguri, Nigeria",3,0.67,INFO_KM
"Noordwijk, Netherlands",3,0.67,CYBER
"Pemba, Mozambique",3,0.67,ITOPS
"Port Of Spain, Trinidad and Tobago",3,0.67,ITOPS
"Port-Au-Prince, Haiti",3,0.67,ITOPS
Remote,3,0.67,ITOPS
"Strasbourg, France",3,0.67,ITOPS
"Abidjan, Cote d'Ivoire",2,0.44,DATA_AI
"Antananarivo, Madagascar",2,0.44,POLICY_ADVISORY
"Bonn, Germany",2,0.44,ITOPS
"Brunssum, Netherlands",2,0.44,INFO_KM
"Buenos Aires, Argentina",2,0.44,ITOPS
"Caracas, Venezuela",2,0.44,CLOUD
"Colombo, Sri Lanka",2,0.44,INFO_KM
"Dhaka, Bangladesh, R",2,0.44,DATA_AI
Fiji/Pacific Island Countries,2,0.44,ITOPS
"Fo Jordan, Jordan",2,0.44,ITOPS
"Helsinki, Finland",2,0.44,DATA_AI
Home Based,2,0.44,DATA_AI
India,2,0.44,POLICY_ADVISORY
"Lome, Togo",2,0.44,DATA_AI
"Luxembourg, Luxembourg",2,0.44,INFO_KM
"Mexico City, Mexico",2,0.44,DATA_AI
"Mons, Belgium",2,0.44,CYBER
