organisation,total_postings,digital_postings,digital_share,top_segment_1,top_segment_2,top_segment_3
UNICEF,1298,78,6.01,DATA_AI,ITOPS,POLICY_ADVISORY
NATO,244,38,15.57,CYBER,CLOUD,DATA_AI
World Food Programme (WFP),612,35,5.72,ITOPS,DATA_AI,PRODUCT
European Commission,268,28,10.45,ITOPS,CYBER,PRODUCT
United Nations Office for Project Services (UNOPS),409,27,6.6,ITOPS,DATA_AI,PRODUCT
United Nations Conference on Trade and Development,100,23,23.0,ITOPS,POLICY_ADVISORY,DATA_AI
Asian Development Bank,195,16,8.21,ITOPS,CLOUD,ENTERPRISE
United Nations Environment Programme,361,16,4.43,DATA_AI,INFO_KM,ITOPS
Resident Coordinator System,150,10,6.67,DATA_AI,,
UNRWA - Information Management - Headquarters Amman,17,10,58.82,SOFTWARE,CLOUD,CYBER
Food and Agriculture Organization,148,9,6.08,ITOPS,DATA_AI,POLICY_ADVISORY
Economic and Social Commission for Western Asia,47,8,17.02,POLICY_ADVISORY,DATA_AI,ITOPS
International Trade Centre,113,8,7.08,POLICY_ADVISORY,ITOPS,SOFTWARE
European Space Agency,103,7,6.8,CYBER,POLICY_ADVISORY,SOFTWARE
UNOPS,103,7,6.8,ITOPS,DATA_AI,
United Nations Office on Drugs and Crime,137,7,5.11,DATA_AI,CYBER,SOFTWARE
Office of Information and Communications Technology,10,6,60.0,ITOPS,,
United Nations Joint Staff Pension Fund - Pension Administration,16,6,37.5,INFO_KM,ITOPS,DATA_AI
Economic and Social Commission for Asia and the Pacific,60,5,8.33,POLICY_ADVISORY,PRODUCT,DATA_AI
Technology Bank for the Least Developed Countries,7,5,71.43,POLICY_ADVISORY,,
UNDP,10,5,50.0,CLOUD,DATA_AI,SOFTWARE
Department of Operational Support,32,4,12.5,DATA_AI,CYBER,INFO_KM
Economic Commission for Africa,43,4,9.3,ITOPS,,
Office for the Coordination of Humanitarian Affairs,39,4,10.26,DATA_AI,INFO_KM,
Office of the High Commissioner for Human Rights,90,4,4.44,INFO_KM,DATA_AI,ENTERPRISE
Department for General Assembly and Conference Management,10,3,30.0,DATA_AI,ITOPS,
Department of Peace Operations,22,3,13.64,DATA_AI,INFO_KM,
EUROPOL - European Police Office,15,3,20.0,SOFTWARE,DATA_AI,
Economic Commission for Latin America and the Caribbean,73,3,4.11,DATA_AI,ITOPS,POLICY_ADVISORY
European Defence Agency,17,3,17.65,CYBER,DATA_AI,
UN Support Office in Haiti,90,3,3.33,ITOPS,,
United Nations Human Settlements Programme,138,3,2.17,SOFTWARE,DATA_AI,POLICY_ADVISORY
United Nations Relief and Works Agency (UNRWA),61,3,4.92,ITOPS,,
"eu-LISA - European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice",5,3,60.0,ITOPS,,
Convention to Combat Desertification,45,2,4.44,ITOPS,,
Department of Safety and Security,43,2,4.65,DATA_AI,,
EDA - European Defence Agency,15,2,13.33,CYBER,,
EU Agencies Network,8,2,25.0,ITOPS,,
EUAA - European Union Agency for Asylum,12,2,16.67,ITOPS,,
EUSPA - European Union Agency for the Space Programme,4,2,50.0,CYBER,ITOPS,
International Court of Justice,5,2,40.0,INFO_KM,CYBER,
Office of Counter-Terrorism,10,2,20.0,ITOPS,,
UNRWA - Programme Relief & Social Services - Headquarters Amman,2,2,100.0,INFO_KM,,
United Nations Joint Staff Pension Fund - Office of Investment Management,10,2,20.0,DATA_AI,ITOPS,
United Nations Office at Nairobi,13,2,15.38,SOFTWARE,ITOPS,
United Nations Office at Vienna,20,2,10.0,ITOPS,,
World Health Organization,20,2,10.0,INFO_KM,PRODUCT,
World Intellectual Property Organization,19,2,10.53,DATA_AI,,
Department of Economic and Social Affairs,37,1,2.7,ITOPS,,
Department of Global Communications,36,1,2.78,DATA_AI,,
Department of Political and Peacebuilding Affairs,28,1,3.57,DATA_AI,,
Digital Investigative Solutions Developer,1,1,100.0,SOFTWARE,,
EASA - European Aviation Safety Agency,9,1,11.11,CYBER,,
EBA - European Banking Authority,5,1,20.0,DATA_AI,,
EIOPA - European Insurance And Occupational Pensions Authority,3,1,33.33,ITOPS,,
ENISA - European Union Agency For Network And Information Security,1,1,100.0,CYBER,,
ESMA - European Securities And Markets Authority,1,1,100.0,ITOPS,,
Executive Office of the Secretary-General,4,1,25.0,PRODUCT,,
FRONTEX - European Border And Coast Guard Agency,8,1,12.5,CYBER,,
INDEPENDENT INVESTIGATIVE MECHANISM FOR MYANMAR,12,1,8.33,ITOPS,,
Information Systems Section,1,1,100.0,ITOPS,,
International Residual Mechanism for Criminal Tribunals,8,1,12.5,INFO_KM,,
Office of the Special Adviser on Africa,4,1,25.0,DATA_AI,,
RC Office YEMEN,1,1,100.0,DATA_AI,,
Record Management and Quality Control Unit,1,1,100.0,INFO_KM,,
UNRWA - Information Management - Gaza,1,1,100.0,DATA_AI,,
UPU - Postal Technology Centre Directorate,2,1,50.0,DATA_AI,,
United Nations Assistance Mission in Afghanistan,8,1,12.5,ITOPS,,
United Nations Interim Security Force for Abyei- created under GA resolution 1990 (2011),16,1,6.25,ITOPS,,
United Nations Interregional Crime and Justice Research Institute,8,1,12.5,DATA_AI,,
United Nations Office at Geneva,15,1,6.67,DATA_AI,,
United Nations Office for Disaster Risk Reduction,16,1,6.25,DATA_AI,,
extended deadline,1,1,100.0,CLOUD,,
